FIPS,ADI_NATRANK,ADI_NATRANK_Category
60014001001,1.0,0
60014001002,2.0,0
60014002001,1.0,0
60014002002,1.0,0
60014003001,1.0,0
60014003002,2.0,0
60014003003,2.0,0
60014003004,3.0,0
60014004001,2.0,0
60014004002,3.0,0
60014004003,2.0,0
60014005001,3.0,0
60014005002,3.0,0
60014005003,3.0,0
60014006001,3.0,0
60014006002,3.0,0
60014007001,6.0,0
60014007002,6.0,0
60014007003,6.0,0
60014007004,6.0,0
60014008001,7.0,0
60014008002,8.0,0
60014008003,6.0,0
60014009001,5.0,0
60014009002,6.0,0
60014010001,6.0,0
60014010002,6.0,0
60014010003,6.0,0
60014010004,6.0,0
60014010005,6.0,0
60014010006,6.0,0
60014011001,3.0,0
60014011002,3.0,0
60014011003,3.0,0
60014011004,4.0,0
60014012001,4.0,0
60014012002,4.0,0
60014012003,5.0,0
60014013001,5.0,0
60014013002,6.0,0
60014013003,5.0,0
60014014001,9.0,0
60014014002,8.0,0
60014014003,9.0,0
60014015001,15.0,1
60014015002,10.0,1
60014015003,13.0,1
60014016001,11.0,1
60014016002,11.0,1
60014017001,9.0,0
60014017002,9.0,0
60014017003,9.0,0
60014018001,9.0,0
60014018002,9.0,0
60014022001,6.0,0
60014022002,10.0,1
60014022003,7.0,0
60014024001,11.0,1
60014024002,13.0,1
60014025001,6.0,0
60014025002,7.0,0
60014026001,14.0,1
60014027001,8.0,0
60014027002,5.0,0
60014028011,4.0,0
60014028012,4.0,0
60014028013,4.0,0
60014028022,7.0,0
60014029001,7.0,0
60014029002,7.0,0
60014030001,19.0,1
60014030002,23.0,2
60014030003,22.0,1
60014031001,8.0,0
60014033011,7.0,0
60014033012,7.0,0
60014033021,5.0,0
60014033022,14.0,1
60014033023,6.0,0
60014034011,7.0,0
60014034012,8.0,0
60014034013,9.0,0
60014034022,6.0,0
60014035011,9.0,0
60014035012,7.0,0
60014035013,8.0,0
60014035014,7.0,0
60014035021,19.0,1
60014035022,19.0,1
60014036001,9.0,0
60014036002,9.0,0
60014036003,10.0,1
60014037011,15.0,1
60014037012,21.0,1
60014037021,7.0,0
60014037022,7.0,0
60014038001,2.0,0
60014038002,5.0,0
60014038003,8.0,0
60014038004,2.0,0
60014039001,10.0,1
60014039002,6.0,0
60014039003,9.0,0
60014040001,15.0,1
60014040002,7.0,0
60014040003,9.0,0
60014041011,3.0,0
60014041012,4.0,0
60014041013,10.0,1
60014041021,8.0,0
60014041022,9.0,0
60014042001,1.0,0
60014042002,2.0,0
60014042003,3.0,0
60014043001,1.0,0
60014043002,1.0,0
60014043003,1.0,0
60014044001,2.0,0
60014044002,3.0,0
60014044003,3.0,0
60014044004,13.0,1
60014045011,2.0,0
60014045021,2.0,0
60014045022,2.0,0
60014045023,2.0,0
60014045024,2.0,0
60014046001,3.0,0
60014046002,2.0,0
60014046003,2.0,0
60014046004,2.0,0
60014047001,2.0,0
60014047002,2.0,0
60014048001,6.0,0
60014048002,3.0,0
60014049001,3.0,0
60014049002,5.0,0
60014049003,4.0,0
60014049004,3.0,0
60014050001,3.0,0
60014050002,2.0,0
60014050003,3.0,0
60014051001,1.0,0
60014051002,1.0,0
60014051003,1.0,0
60014051004,1.0,0
60014051005,1.0,0
60014052001,5.0,0
60014052002,5.0,0
60014052003,3.0,0
60014052004,7.0,0
60014053011,6.0,0
60014053012,6.0,0
60014053013,7.0,0
60014053021,18.0,1
60014053022,17.0,1
60014054011,12.0,1
60014054012,29.0,2
60014054013,13.0,1
60014054021,11.0,1
60014054022,10.0,1
60014055001,8.0,0
60014055002,10.0,1
60014055003,10.0,1
60014055004,5.0,0
60014056001,11.0,1
60014056002,9.0,0
60014056003,10.0,1
60014057001,16.0,1
60014057002,18.0,1
60014057003,10.0,1
60014058001,25.0,2
60014058002,19.0,1
60014058003,12.0,1
60014058004,12.0,1
60014059011,16.0,1
60014059012,27.0,2
60014059013,20.0,1
60014059021,13.0,1
60014059022,13.0,1
60014060001,12.0,1
60014060002,12.0,1
60014060003,12.0,1
60014060004,12.0,1
60014061001,13.0,1
60014061002,23.0,2
60014061003,10.0,1
60014061004,12.0,1
60014062011,15.0,1
60014062012,14.0,1
60014062013,14.0,1
60014062014,5.0,0
60014062021,14.0,1
60014062022,14.0,1
60014062023,14.0,1
60014063001,13.0,1
60014063002,18.0,1
60014063003,17.0,1
60014063004,20.0,1
60014064001,10.0,1
60014064002,12.0,1
60014065001,15.0,1
60014065002,32.0,2
60014065003,17.0,1
60014065004,12.0,1
60014066011,20.0,1
60014066012,13.0,1
60014066013,11.0,1
60014066014,22.0,1
60014066021,14.0,1
60014066022,15.0,1
60014067001,4.0,0
60014067002,5.0,0
60014067003,6.0,0
60014067004,4.0,0
60014067005,6.0,0
60014068001,5.0,0
60014068002,4.0,0
60014068003,6.0,0
60014068004,6.0,0
60014069001,5.0,0
60014069002,4.0,0
60014069003,12.0,1
60014070001,13.0,1
60014070002,12.0,1
60014070003,10.0,1
60014070004,12.0,1
60014070005,18.0,1
60014071011,23.0,2
60014071012,21.0,1
60014071021,13.0,1
60014071022,13.0,1
60014071023,18.0,1
60014071024,15.0,1
60014072001,20.0,1
60014072002,18.0,1
60014072003,28.0,2
60014072004,25.0,2
60014073001,28.0,2
60014073002,26.0,2
60014074001,15.0,1
60014074002,15.0,1
60014074003,15.0,1
60014075001,21.0,1
60014075002,22.0,1
60014075003,22.0,1
60014076001,9.0,0
60014076002,13.0,1
60014076003,13.0,1
60014076004,14.0,1
60014076005,35.0,2
60014077001,13.0,1
60014077002,9.0,0
60014077003,7.0,0
60014077004,8.0,0
60014078001,11.0,1
60014079001,4.0,0
60014079002,5.0,0
60014079003,7.0,0
60014080001,2.0,0
60014080002,3.0,0
60014081001,2.0,0
60014081002,16.0,1
60014081003,3.0,0
60014081004,4.0,0
60014081005,3.0,0
60014082001,10.0,1
60014082002,11.0,1
60014082003,11.0,1
60014083001,9.0,0
60014083002,9.0,0
60014083003,8.0,0
60014083004,9.0,0
60014083005,9.0,0
60014084001,21.0,1
60014084002,21.0,1
60014084003,21.0,1
60014085001,29.0,2
60014085002,31.0,2
60014085003,24.0,2
60014085004,28.0,2
60014085005,17.0,1
60014086001,26.0,2
60014086002,17.0,1
60014086003,29.0,2
60014086004,22.0,1
60014087001,16.0,1
60014087002,12.0,1
60014087003,25.0,2
60014087004,17.0,1
60014087005,23.0,2
60014087006,24.0,2
60014088001,28.0,2
60014088002,30.0,2
60014088003,31.0,2
60014088004,29.0,2
60014089001,30.0,2
60014089002,22.0,1
60014090001,21.0,1
60014090003,34.0,2
60014091001,24.0,2
60014091002,24.0,2
60014092001,21.0,1
60014092002,22.0,1
60014093001,28.0,2
60014093002,29.0,2
60014093003,29.0,2
60014093004,30.0,2
60014094001,25.0,2
60014094002,25.0,2
60014094003,27.0,2
60014095001,33.0,2
60014095002,28.0,2
60014095003,29.0,2
60014096001,25.0,2
60014096002,25.0,2
60014096003,25.0,2
60014096004,25.0,2
60014096005,25.0,2
60014097001,31.0,2
60014097002,28.0,2
60014097003,28.0,2
60014097004,31.0,2
60014098001,9.0,0
60014098002,12.0,1
60014098003,9.0,0
60014099001,5.0,0
60014099002,4.0,0
60014099003,4.0,0
60014099004,4.0,0
60014100001,5.0,0
60014100002,5.0,0
60014101001,13.0,1
60014101002,13.0,1
60014102001,27.0,2
60014102002,26.0,2
60014102003,19.0,1
60014103001,25.0,2
60014103002,27.0,2
60014103003,24.0,2
60014104001,29.0,2
60014104002,16.0,1
60014104003,18.0,1
60014105001,3.0,0
60014105002,12.0,1
60014201001,3.0,0
60014201002,2.0,0
60014201003,3.0,0
60014202001,6.0,0
60014202002,6.0,0
60014202003,7.0,0
60014203011,11.0,1
60014203021,6.0,0
60014203022,5.0,0
60014204011,6.0,0
60014204012,6.0,0
60014204021,6.0,0
60014204022,6.0,0
60014205001,4.0,0
60014205002,4.0,0
60014206001,2.0,0
60014206002,2.0,0
60014206003,3.0,0
60014211001,2.0,0
60014211002,2.0,0
60014212001,1.0,0
60014212002,1.0,0
60014212003,1.0,0
60014212004,2.0,0
60014213001,2.0,0
60014213002,2.0,0
60014213003,2.0,0
60014213004,2.0,0
60014214001,1.0,0
60014214002,1.0,0
60014215001,2.0,0
60014215002,2.0,0
60014215003,2.0,0
60014216001,2.0,0
60014216002,2.0,0
60014216003,2.0,0
60014216004,2.0,0
60014217001,4.0,0
60014217002,3.0,0
60014217003,4.0,0
60014218001,3.0,0
60014218002,2.0,0
60014219001,3.0,0
60014219002,4.0,0
60014219003,4.0,0
60014219004,5.0,0
60014220001,5.0,0
60014220002,4.0,0
60014221001,4.0,0
60014221002,6.0,0
60014222001,4.0,0
60014222002,5.0,0
60014222003,5.0,0
60014223001,4.0,0
60014223002,2.0,0
60014223003,4.0,0
60014224001,5.0,0
60014224002,5.0,0
60014224003,5.0,0
60014224004,5.0,0
60014225001,4.0,0
60014227001,1.0,0
60014228003,7.0,0
60014228004,7.0,0
60014229011,7.0,0
60014229012,6.0,0
60014229021,6.0,0
60014229022,7.0,0
60014229023,7.0,0
60014230001,5.0,0
60014230002,3.0,0
60014230003,4.0,0
60014231001,4.0,0
60014231002,4.0,0
60014231003,4.0,0
60014231004,4.0,0
60014232001,4.0,0
60014232002,4.0,0
60014233001,4.0,0
60014233002,5.0,0
60014233003,4.0,0
60014234001,5.0,0
60014234002,5.0,0
60014234003,5.0,0
60014234004,5.0,0
60014235001,4.0,0
60014235002,4.0,0
60014235003,4.0,0
60014236011,2.0,0
60014236012,3.0,0
60014236021,5.0,0
60014236022,6.0,0
60014236023,5.0,0
60014237002,1.0,0
