"GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"G06000104001001","060014001001","1","1"
"G06000104001002","060014001002","2","1"
"G06000104002001","060014002001","1","1"
"G06000104002002","060014002002","1","1"
"G06000104003001","060014003001","1","1"
"G06000104003002","060014003002","2","1"
"G06000104003003","060014003003","2","1"
"G06000104003004","060014003004","3","2"
"G06000104004001","060014004001","2","1"
"G06000104004002","060014004002","3","2"
"G06000104004003","060014004003","2","1"
"G06000104005001","060014005001","3","2"
"G06000104005002","060014005002","3","2"
"G06000104005003","060014005003","3","2"
"G06000104006001","060014006001","3","2"
"G06000104006002","060014006002","3","2"
"G06000104007001","060014007001","6","3"
"G06000104007002","060014007002","6","3"
"G06000104007003","060014007003","6","3"
"G06000104007004","060014007004","6","3"
"G06000104008001","060014008001","7","3"
"G06000104008002","060014008002","8","3"
"G06000104008003","060014008003","6","3"
"G06000104009001","060014009001","5","2"
"G06000104009002","060014009002","6","3"
"G06000104010001","060014010001","6","3"
"G06000104010002","060014010002","6","3"
"G06000104010003","060014010003","6","3"
"G06000104010004","060014010004","6","3"
"G06000104010005","060014010005","6","3"
"G06000104010006","060014010006","6","3"
"G06000104011001","060014011001","3","2"
"G06000104011002","060014011002","3","2"
"G06000104011003","060014011003","3","2"
"G06000104011004","060014011004","4","2"
"G06000104012001","060014012001","4","2"
"G06000104012002","060014012002","4","2"
"G06000104012003","060014012003","5","2"
"G06000104013001","060014013001","5","2"
"G06000104013002","060014013002","6","3"
"G06000104013003","060014013003","5","2"
"G06000104014001","060014014001","9","4"
"G06000104014002","060014014002","8","3"
"G06000104014003","060014014003","9","4"
"G06000104015001","060014015001","15","6"
"G06000104015002","060014015002","10","4"
"G06000104015003","060014015003","13","5"
"G06000104016001","060014016001","11","4"
"G06000104016002","060014016002","11","4"
"G06000104017001","060014017001","9","4"
"G06000104017002","060014017002","9","4"
"G06000104017003","060014017003","9","4"
"G06000104018001","060014018001","9","4"
"G06000104018002","060014018002","9","4"
"G06000104022001","060014022001","6","3"
"G06000104022002","060014022002","10","4"
"G06000104022003","060014022003","7","3"
"G06000104024001","060014024001","11","4"
"G06000104024002","060014024002","13","5"
"G06000104025001","060014025001","6","3"
"G06000104025002","060014025002","7","3"
"G06000104026001","060014026001","14","5"
"G06000104027001","060014027001","8","3"
"G06000104027002","060014027002","5","2"
"G06000104028011","060014028011","4","2"
"G06000104028012","060014028012","4","2"
"G06000104028013","060014028013","4","2"
"G06000104028021","060014028021","GQ","GQ"
"G06000104028022","060014028022","7","3"
"G06000104029001","060014029001","7","3"
"G06000104029002","060014029002","7","3"
"G06000104030001","060014030001","19","6"
"G06000104030002","060014030002","23","7"
"G06000104030003","060014030003","22","7"
"G06000104031001","060014031001","8","3"
"G06000104031002","060014031002","GQ","GQ"
"G06000104033011","060014033011","7","3"
"G06000104033012","060014033012","7","3"
"G06000104033021","060014033021","5","2"
"G06000104033022","060014033022","14","5"
"G06000104033023","060014033023","6","3"
"G06000104034011","060014034011","7","3"
"G06000104034012","060014034012","8","3"
"G06000104034013","060014034013","9","4"
"G06000104034021","060014034021","PH","PH"
"G06000104034022","060014034022","6","3"
"G06000104035011","060014035011","9","4"
"G06000104035012","060014035012","7","3"
"G06000104035013","060014035013","8","3"
"G06000104035014","060014035014","7","3"
"G06000104035021","060014035021","19","6"
"G06000104035022","060014035022","19","6"
"G06000104036001","060014036001","9","4"
"G06000104036002","060014036002","9","4"
"G06000104036003","060014036003","10","4"
"G06000104037011","060014037011","15","6"
"G06000104037012","060014037012","21","7"
"G06000104037021","060014037021","7","3"
"G06000104037022","060014037022","7","3"
"G06000104038001","060014038001","2","1"
"G06000104038002","060014038002","5","2"
"G06000104038003","060014038003","8","3"
"G06000104038004","060014038004","2","1"
"G06000104039001","060014039001","10","4"
"G06000104039002","060014039002","6","3"
"G06000104039003","060014039003","9","4"
"G06000104040001","060014040001","15","6"
"G06000104040002","060014040002","7","3"
"G06000104040003","060014040003","9","4"
"G06000104041011","060014041011","3","2"
"G06000104041012","060014041012","4","2"
"G06000104041013","060014041013","10","4"
"G06000104041021","060014041021","8","3"
"G06000104041022","060014041022","9","4"
"G06000104042001","060014042001","1","1"
"G06000104042002","060014042002","2","1"
"G06000104042003","060014042003","3","2"
"G06000104043001","060014043001","1","1"
"G06000104043002","060014043002","1","1"
"G06000104043003","060014043003","1","1"
"G06000104044001","060014044001","2","1"
"G06000104044002","060014044002","3","2"
"G06000104044003","060014044003","3","2"
"G06000104044004","060014044004","13","5"
"G06000104045011","060014045011","2","1"
"G06000104045021","060014045021","2","1"
"G06000104045022","060014045022","2","1"
"G06000104045023","060014045023","2","1"
"G06000104045024","060014045024","2","1"
"G06000104046001","060014046001","3","2"
"G06000104046002","060014046002","2","1"
"G06000104046003","060014046003","2","1"
"G06000104046004","060014046004","2","1"
"G06000104047001","060014047001","2","1"
"G06000104047002","060014047002","2","1"
"G06000104048001","060014048001","6","3"
"G06000104048002","060014048002","3","2"
"G06000104049001","060014049001","3","2"
"G06000104049002","060014049002","5","2"
"G06000104049003","060014049003","4","2"
"G06000104049004","060014049004","3","2"
"G06000104050001","060014050001","3","2"
"G06000104050002","060014050002","2","1"
"G06000104050003","060014050003","3","2"
"G06000104051001","060014051001","1","1"
"G06000104051002","060014051002","1","1"
"G06000104051003","060014051003","1","1"
"G06000104051004","060014051004","1","1"
"G06000104051005","060014051005","1","1"
"G06000104052001","060014052001","5","2"
"G06000104052002","060014052002","5","2"
"G06000104052003","060014052003","3","2"
"G06000104052004","060014052004","7","3"
"G06000104053011","060014053011","6","3"
"G06000104053012","060014053012","6","3"
"G06000104053013","060014053013","7","3"
"G06000104053021","060014053021","18","6"
"G06000104053022","060014053022","17","6"
"G06000104054011","060014054011","12","5"
"G06000104054012","060014054012","29","8"
"G06000104054013","060014054013","13","5"
"G06000104054021","060014054021","11","4"
"G06000104054022","060014054022","10","4"
"G06000104055001","060014055001","8","3"
"G06000104055002","060014055002","10","4"
"G06000104055003","060014055003","10","4"
"G06000104055004","060014055004","5","2"
"G06000104056001","060014056001","11","4"
"G06000104056002","060014056002","9","4"
"G06000104056003","060014056003","10","4"
"G06000104057001","060014057001","16","6"
"G06000104057002","060014057002","18","6"
"G06000104057003","060014057003","10","4"
"G06000104058001","060014058001","25","7"
"G06000104058002","060014058002","19","6"
"G06000104058003","060014058003","12","5"
"G06000104058004","060014058004","12","5"
"G06000104059011","060014059011","16","6"
"G06000104059012","060014059012","27","8"
"G06000104059013","060014059013","20","7"
"G06000104059021","060014059021","13","5"
"G06000104059022","060014059022","13","5"
"G06000104060001","060014060001","12","5"
"G06000104060002","060014060002","12","5"
"G06000104060003","060014060003","12","5"
"G06000104060004","060014060004","12","5"
"G06000104061001","060014061001","13","5"
"G06000104061002","060014061002","23","7"
"G06000104061003","060014061003","10","4"
"G06000104061004","060014061004","12","5"
"G06000104062011","060014062011","15","6"
"G06000104062012","060014062012","14","5"
"G06000104062013","060014062013","14","5"
"G06000104062014","060014062014","5","2"
"G06000104062021","060014062021","14","5"
"G06000104062022","060014062022","14","5"
"G06000104062023","060014062023","14","5"
"G06000104063001","060014063001","13","5"
"G06000104063002","060014063002","18","6"
"G06000104063003","060014063003","17","6"
"G06000104063004","060014063004","20","7"
"G06000104064001","060014064001","10","4"
"G06000104064002","060014064002","12","5"
"G06000104065001","060014065001","15","6"
"G06000104065002","060014065002","32","8"
"G06000104065003","060014065003","17","6"
"G06000104065004","060014065004","12","5"
"G06000104066011","060014066011","20","7"
"G06000104066012","060014066012","13","5"
"G06000104066013","060014066013","11","4"
"G06000104066014","060014066014","22","7"
"G06000104066021","060014066021","14","5"
"G06000104066022","060014066022","15","6"
"G06000104067001","060014067001","4","2"
"G06000104067002","060014067002","5","2"
"G06000104067003","060014067003","6","3"
"G06000104067004","060014067004","4","2"
"G06000104067005","060014067005","6","3"
"G06000104068001","060014068001","5","2"
"G06000104068002","060014068002","4","2"
"G06000104068003","060014068003","6","3"
"G06000104068004","060014068004","6","3"
"G06000104069001","060014069001","5","2"
"G06000104069002","060014069002","4","2"
"G06000104069003","060014069003","12","5"
"G06000104070001","060014070001","13","5"
"G06000104070002","060014070002","12","5"
"G06000104070003","060014070003","10","4"
"G06000104070004","060014070004","12","5"
"G06000104070005","060014070005","18","6"
"G06000104071011","060014071011","23","7"
"G06000104071012","060014071012","21","7"
"G06000104071021","060014071021","13","5"
"G06000104071022","060014071022","13","5"
"G06000104071023","060014071023","18","6"
"G06000104071024","060014071024","15","6"
"G06000104072001","060014072001","20","7"
"G06000104072002","060014072002","18","6"
"G06000104072003","060014072003","28","8"
"G06000104072004","060014072004","25","7"
"G06000104073001","060014073001","28","8"
"G06000104073002","060014073002","26","8"
"G06000104074001","060014074001","15","6"
"G06000104074002","060014074002","15","6"
"G06000104074003","060014074003","15","6"
"G06000104075001","060014075001","21","7"
"G06000104075002","060014075002","22","7"
"G06000104075003","060014075003","22","7"
"G06000104076001","060014076001","9","4"
"G06000104076002","060014076002","13","5"
"G06000104076003","060014076003","13","5"
"G06000104076004","060014076004","14","5"
"G06000104076005","060014076005","35","9"
"G06000104077001","060014077001","13","5"
"G06000104077002","060014077002","9","4"
"G06000104077003","060014077003","7","3"
"G06000104077004","060014077004","8","3"
