location,phone,transactions,distance,display_phone,is_closed,name,review_count,attributes,price,categories,url,rating,coordinates,alias,image_url,id
"{'address1': '624 S La Brea Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['624 S La Brea Ave', 'Los Angeles, CA 90036']}",+13103626115,"['pickup', 'delivery']",2078.1942041926777,(310) 362-6115,False,Republique,7260,"{'business_temp_closed': None, 'menu_url': 'http://republiquela.com/menu/', 'open24_hours': None, 'waitlist_reservation': None}",$$,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",https://www.yelp.com/biz/republique-los-angeles-6?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.2,"{'latitude': 34.064154, 'longitude': -118.343684}",republique-los-angeles-6,https://s3-media4.fl.yelpcdn.com/bphoto/Xy6oJ25E2QUzw_zsBD-dhA/o.jpg,z0zaCVA-p_5xTsyUZrmR0g
"{'address1': '234 S Oxford Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['234 S Oxford Ave', 'Los Angeles, CA 90004']}",+12133155153,"['pickup', 'restaurant_reservation', 'delivery']",1575.4777597101904,(213) 315-5153,False,Anju House,224,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': True}",,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",https://www.yelp.com/biz/anju-house-los-angeles-2?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.3,"{'latitude': 34.0701519575396, 'longitude': -118.3076326}",anju-house-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/nBjVnxjoOi77nwD4BvYNcA/o.jpg,XgQ8riUvnMOBVfRG29NCEQ
"{'address1': '6516 Selma Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90028', 'country': 'US', 'state': 'CA', 'display_address': ['6516 Selma Ave', 'Los Angeles, CA 90028']}",+13234106360,[],4331.910549120845,(323) 410-6360,False,Ka'teen,701,"{'business_temp_closed': None, 'menu_url': 'https://www.kateenla.com/menus', 'open24_hours': None, 'waitlist_reservation': None}",,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",https://www.yelp.com/biz/kateen-los-angeles-2?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.0,"{'latitude': 34.09948, 'longitude': -118.33167}",kateen-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/LYXELgjRFE7ByMhEWiDNDQ/o.jpg,dnYh7aAv1O5RwseWGdLOKQ
"{'address1': '960 N La Brea Ave', 'address2': 'Fl 4', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90038', 'country': 'US', 'state': 'CA', 'display_address': ['960 N La Brea Ave', 'Fl 4', 'Los Angeles, CA 90038']}",+12133197850,[],3617.084341026566,(213) 319-7850,False,Mother Tongue,350,"{'business_temp_closed': None, 'menu_url': 'https://hellomothertongue.com/menus/', 'open24_hours': None, 'waitlist_reservation': None}",,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",https://www.yelp.com/biz/mother-tongue-los-angeles-2?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.1,"{'latitude': 34.08841220860647, 'longitude': -118.343722784439}",mother-tongue-los-angeles-2,https://s3-media4.fl.yelpcdn.com/bphoto/n_Y04XDYU7ywMfXEgVHKAA/o.jpg,wwTc59Ul8abQO0dLon5jkA
"{'address1': '8142 W 3rd St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90048', 'country': 'US', 'state': 'CA', 'display_address': ['8142 W 3rd St', 'Los Angeles, CA 90048']}",+13234132372,"['pickup', 'delivery']",4393.864661628467,(323) 413-2372,False,OSTE,901,"{'business_temp_closed': None, 'menu_url': 'https://www.ostelosangeles.com/takeoutpinsa', 'open24_hours': None, 'waitlist_reservation': None}",,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",https://www.yelp.com/biz/oste-los-angeles?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.7,"{'latitude': 34.07211, 'longitude': -118.367363}",oste-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/-aP_xRw7ODIa3Emm1JBqbQ/o.jpg,3FlrvSaW-TSwkQDsCpKYEg
"{'address1': '681 S Western Ave', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['681 S Western Ave', 'Los Angeles, CA 90005']}",+12135683195,['restaurant_reservation'],1089.5388492428103,(213) 568-3195,False,Enchant,130,"{'business_temp_closed': None, 'menu_url': 'https://www.enchant.la/menu', 'open24_hours': None, 'waitlist_reservation': True}",$$,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",https://www.yelp.com/biz/enchant-los-angeles?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.1,"{'latitude': 34.060420911180366, 'longitude': -118.309614}",enchant-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/YowRCKBiPP3j6d__DfNDyA/o.jpg,T4eGk9bvqtHS_M3IVlv72g
"{'address1': '3128 West 8th St', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90005', 'country': 'US', 'state': 'CA', 'display_address': ['3128 West 8th St', 'Los Angeles, CA 90005']}",+12133780065,"['pickup', 'delivery']",2448.5621012104307,(213) 378-0065,False,Kingyubu,100,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",$$,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]",https://www.yelp.com/biz/kingyubu-los-angeles?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.8,"{'latitude': 34.057451, 'longitude': -118.295235}",kingyubu-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/nhS7v8T_nbCc_rimwoeReg/o.jpg,o8Y0SXqQuIC7HOWe45w8PQ
"{'address1': '244 N Larchmont Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['244 N Larchmont Blvd', 'Los Angeles, CA 90004']}",+13237455059,[],1589.744677798503,(323) 745-5059,False,Great White,563,"{'business_temp_closed': None, 'menu_url': None, 'open24_hours': None, 'waitlist_reservation': None}",$$,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",https://www.yelp.com/biz/great-white-los-angeles-2?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.1,"{'latitude': 34.07587723057971, 'longitude': -118.3233931}",great-white-los-angeles-2,https://s3-media2.fl.yelpcdn.com/bphoto/LyaoiXtGYaSF8aAn68fvig/o.jpg,1RJCu-0D5ZEnVRBKwqodGQ
"{'address1': '801 S La Brea', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['801 S La Brea', 'Los Angeles, CA 90036']}",+13238523321,"['pickup', 'delivery']",2176.128670414965,(323) 852-3321,False,Met Him At A Bar,772,"{'business_temp_closed': None, 'menu_url': 'https://www.methimatabar.com/menu', 'open24_hours': None, 'waitlist_reservation': None}",$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",https://www.yelp.com/biz/met-him-at-a-bar-los-angeles-3?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.4,"{'latitude': 34.060415, 'longitude': -118.345018}",met-him-at-a-bar-los-angeles-3,https://s3-media4.fl.yelpcdn.com/bphoto/nK3fajAQ4EiCBxHdVL8zzg/o.jpg,HuQtriV_ApipXfM8xax33w
"{'address1': '4222 Vineland Ave', 'address2': '', 'address3': '', 'city': 'North Hollywood', 'zip_code': '91602', 'country': 'US', 'state': 'CA', 'display_address': ['4222 Vineland Ave', 'North Hollywood, CA 91602']}",+18182557290,['delivery'],10289.13401088613,(818) 255-7290,False,The Front Yard,3537,"{'business_temp_closed': None, 'menu_url': 'http://www.thefrontyardla.com/menus', 'open24_hours': None, 'waitlist_reservation': None}",$$,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",https://www.yelp.com/biz/the-front-yard-north-hollywood-2?adjust_creative=TJn_vBz7OAFyoJinyxnr1Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=TJn_vBz7OAFyoJinyxnr1Q,4.0,"{'latitude': 34.145172, 'longitude': -118.369529}",the-front-yard-north-hollywood-2,https://s3-media1.fl.yelpcdn.com/bphoto/GN7koGrpEIpGef2tdi1bBA/o.jpg,25fipMHUHLZTq0sVQINi5g
